area_unit_name,2 + bedrooms needed (severely crowded),1 bedroom needed (crowded),total_crowded,total_crowded_percent,No extra bedrooms required,1 bedroom spare,2 or more bedrooms spare,total_not_crowded,total_not_crowded_percent,total_stated,total_unknown,total_households,average_household_size
Dairy Flat-Redvale,6,15,21,2.6,117,231,444,792,97.1,816,51,864,3.2
Paremoremo West,..C,..C,6,2.3,39,69,150,255,98.8,258,9,267,3.0
Tauhoa-Puhoi,12,42,54,3.4,243,459,834,"1,533",96.4,"1,590",96,"1,686",2.7
Tahekeroa,9,21,24,2.0,186,384,621,"1,191",98.0,"1,215",84,"1,299",2.9
Matheson Bay,..C,..C,..C,..C,9,15,27,54,100.0,54,9,60,2.2
Kawau,..C,..C,..C,..C,6,12,21,39,100.0,39,6,45,1.7
Snells Beach,6,15,21,1.5,183,396,798,"1,377",98.7,"1,395",78,"1,470",2.3
Algies Bay,..C,..C,..C,..C,36,57,177,273,100.0,273,12,288,2.2
Mahurangi,..C,..C,..C,..C,18,42,78,138,100.0,138,6,144,2.4
South Head,..C,18,21,4.3,84,141,246,471,95.7,492,63,555,2.6
Parakai Rural,..C,..C,..C,..C,45,63,78,186,98.4,189,12,198,2.9
Parakai Urban,..C,18,18,4.9,114,126,111,348,94.3,369,42,408,2.5
Kaukapakapa Rural,..C,15,15,1.9,129,264,399,792,97.8,810,54,861,2.9
Kaukapakapa,..C,..C,6,4.3,30,48,57,135,97.8,138,9,150,2.9
Helensville South,..C,6,6,3.1,30,63,99,189,98.4,192,9,204,2.8
Rewiti,..C,15,18,2.8,132,180,309,621,97.2,639,57,696,2.9
Riverhead,3,15,21,2.1,147,276,576,999,97.9,"1,020",42,"1,062",3.0
Muriwai Beach,..C,15,15,3.8,114,129,138,384,96.2,399,33,429,2.6
Muriwai Valley,..C,9,9,4.1,39,72,102,216,97.3,222,15,240,3.0
Waitakere West,..C,6,6,3.2,42,51,90,180,95.2,189,21,210,2.9
Point Wells,..C,..C,..C,..C,12,39,108,162,100.0,162,6,168,2.2
Omaha,..C,..C,..C,..C,27,45,162,234,100.0,234,24,261,2.4
Matakana,..C,..C,..C,..C,18,39,51,105,100.0,105,6,111,2.6
Cape Rodney,6,27,33,3.3,159,249,549,957,96.7,990,78,"1,068",2.7
Cape Rodney South,6,12,18,1.8,156,246,591,993,97.9,"1,014",57,"1,071",2.5
Helensville,6,27,33,3.5,192,297,411,900,96.8,930,63,996,2.6
Awaruku,9,24,30,2.6,186,372,579,"1,140",97.4,"1,170",27,"1,197",3.0
Glamorgan,3,36,39,3.6,198,369,468,"1,038",96.4,"1,077",45,"1,122",3.0
Torbay,..C,30,36,2.0,321,567,834,"1,722",98.0,"1,758",42,"1,800",2.7
Waiake,6,21,24,1.7,237,471,696,"1,407",98.1,"1,434",57,"1,488",2.9
Browns Bay,6,33,39,2.6,294,579,591,"1,464",97.4,"1,503",78,"1,584",2.6
Oaktree,6,42,45,3.1,264,498,657,"1,416",96.7,"1,464",57,"1,524",3.0
Rothesay Bay,9,45,51,2.9,294,567,858,"1,719",97.0,"1,773",60,"1,833",3.0
Murrays Bay,..C,18,21,1.4,207,498,795,"1,500",98.8,"1,518",66,"1,587",3.0
Mairangi Bay,6,27,33,1.9,243,570,909,"1,722",98.0,"1,758",57,"1,812",3.0
Campbells Bay,..C,6,12,1.5,93,234,441,768,98.5,780,24,801,2.9
Castor Bay,..C,15,15,1.4,129,303,591,"1,023",98.6,"1,038",39,"1,077",2.8
Crown Hill,6,30,36,3.0,201,432,543,"1,179",97.3,"1,212",54,"1,269",2.8
Lake Pupuke,6,54,57,2.6,414,813,864,"2,091",97.2,"2,151",57,"2,208",2.3
Westlake,18,99,114,5.6,618,780,516,"1,914",94.5,"2,025",66,"2,094",2.4
Takapuna Central,9,30,42,3.2,243,510,537,"1,287",96.8,"1,329",33,"1,362",2.3
Hauraki,9,48,57,2.7,417,774,858,"2,052",97.3,"2,109",57,"2,166",2.7
Seacliffe,9,36,45,3.6,306,471,411,"1,191",96.4,"1,236",39,"1,275",2.7
Bayswater,6,24,30,3.5,204,288,324,816,96.5,846,21,864,2.9
Kaipatiki,27,78,105,7.5,339,462,498,"1,299",92.7,"1,401",75,"1,479",3.1
Windy Ridge,9,63,75,6.3,273,414,429,"1,113",93.7,"1,188",57,"1,245",2.9
Glenfield Central,24,108,132,8.6,378,525,492,"1,395",91.2,"1,530",102,"1,632",2.9
Glenfield North,21,96,114,8.5,360,456,414,"1,224",91.3,"1,341",78,"1,416",3.1
Glendhu,15,84,99,5.8,396,612,609,"1,617",94.2,"1,716",108,"1,827",3.0
Witheford,12,48,60,6.2,210,363,339,912,93.8,972,69,"1,044",3.0
Target Road,18,138,153,7.1,543,804,648,"1,995",92.9,"2,148",120,"2,268",2.9
Forrest Hill,9,90,99,5.5,402,663,621,"1,689",94.5,"1,788",54,"1,842",3.1
Sunnynook,30,93,123,5.8,522,750,723,"1,992",94.2,"2,115",96,"2,211",3.0
Monarch Park,12,39,54,3.3,333,585,681,"1,599",96.9,"1,650",54,"1,701",2.9
Sunnybrae,12,54,66,6.0,282,375,375,"1,035",94.3,"1,098",45,"1,143",2.8
Albany,6,30,39,3.8,252,351,375,978,96.2,"1,017",69,"1,086",2.8
Fairview,..C,12,15,1.7,144,270,480,894,98.3,909,39,948,3.1
Northcross,12,78,87,5.9,393,555,444,"1,392",94.1,"1,479",66,"1,548",2.9
Unsworth Heights,18,60,81,5.0,348,549,645,"1,539",94.8,"1,623",63,"1,683",3.2
Pinehill,6,33,42,4.1,171,297,525,993,95.9,"1,035",45,"1,080",3.7
Windsor Park,6,15,21,2.9,198,309,192,699,97.1,720,21,741,2.5
North Harbour West,6,27,36,2.6,207,378,771,"1,356",97.2,"1,395",51,"1,446",3.5
North Harbour East,15,51,63,4.8,351,381,522,"1,254",95.0,"1,320",57,"1,377",2.7
Long Bay,..C,..C,..C,..C,57,93,138,288,100.0,288,9,300,2.9
Paremoremo East,..C,9,9,1.4,120,225,303,645,98.6,654,36,690,3.2
Greenhithe,6,39,45,1.8,339,774,"1,347","2,460",98.3,"2,502",72,"2,574",3.3
Narrow Neck,..C,27,27,2.1,330,516,441,"1,287",97.7,"1,317",30,"1,347",2.7
Mt Victoria,..C,27,27,1.4,438,720,765,"1,923",98.6,"1,950",69,"2,019",2.6
Stanley Bay,..C,15,15,2.3,102,243,291,633,97.7,648,15,660,2.9
Ocean View,18,63,78,5.0,411,492,561,"1,467",95.0,"1,545",78,"1,623",2.8
Tuff Crater,27,75,105,7.8,387,453,408,"1,248",92.2,"1,353",87,"1,440",2.8
Northcote South,3,48,54,3.5,303,573,594,"1,470",96.5,"1,524",42,"1,566",2.6
Beachhaven North,27,96,123,7.0,468,606,570,"1,641",93.0,"1,764",150,"1,914",2.8
Beachhaven South,24,72,96,6.2,270,513,669,"1,452",94.0,"1,545",69,"1,614",2.9
Birkdale North,12,57,66,7.1,231,342,291,861,92.6,930,42,972,3.0
Birkdale South,9,57,69,4.9,345,531,462,"1,335",95.1,"1,404",57,"1,461",2.8
Kauri Park,9,48,57,4.1,309,534,498,"1,344",96.1,"1,398",45,"1,446",2.7
Chelsea,9,18,30,2.4,162,369,678,"1,212",97.8,"1,239",27,"1,266",3.0
Birkenhead East,12,48,57,3.9,327,531,561,"1,419",96.1,"1,476",45,"1,524",2.7
Henderson North,30,102,132,6.2,585,879,525,"1,992",93.8,"2,124",123,"2,247",2.5
Henderson South,54,117,171,12.2,402,465,360,"1,227",87.8,"1,398",87,"1,485",3.1
Tangutu,15,60,75,7.7,231,333,330,897,92.6,969,57,"1,026",3.0
Woodglen,33,87,123,8.4,360,546,432,"1,335",91.6,"1,458",78,"1,536",3.0
Glen Eden East,57,168,222,9.7,744,717,594,"2,052",90.1,"2,277",234,"2,511",2.8
New Lynn North,33,66,99,11.6,252,339,162,753,88.4,852,72,927,2.8
New Lynn South,24,66,87,9.8,291,300,213,801,90.2,888,69,960,2.9
Lynnmall,24,90,114,15.8,276,222,114,609,84.2,723,81,804,2.9
Fruitvale,33,111,144,9.8,369,582,378,"1,329",90.2,"1,473",147,"1,620",2.7
Rewarewa,21,87,105,7.4,390,519,393,"1,302",92.3,"1,410",117,"1,527",2.8
Glendene North,36,84,120,9.0,309,435,465,"1,212",91.0,"1,332",99,"1,431",3.1
Glendene South,24,60,84,11.0,198,249,234,681,89.0,765,72,837,3.2
Kelston Central,66,147,210,18.5,309,339,279,927,81.5,"1,137",114,"1,251",3.5
Sunnyvale,18,60,81,6.4,294,453,426,"1,176",93.6,"1,257",84,"1,341",3.0
Kaurilands,9,30,36,3.4,225,363,426,"1,011",96.6,"1,047",30,"1,080",2.9
Crum Park,9,36,45,3.5,225,438,588,"1,251",96.5,"1,296",69,"1,365",2.8
Titirangi South,3,18,21,1.7,180,408,609,"1,197",98.3,"1,218",45,"1,263",2.7
Green Bay,15,27,42,2.6,333,654,600,"1,587",97.4,"1,629",69,"1,695",2.4
Matipo,15,45,57,5.7,279,333,330,939,94.0,999,87,"1,086",2.8
Durham Green,24,75,99,7.2,285,441,546,"1,269",92.8,"1,368",84,"1,452",3.0
Te Atatu Central,30,78,108,6.6,315,615,597,"1,524",93.4,"1,632",60,"1,692",2.9
Edmonton,24,75,99,8.8,294,393,342,"1,026",91.4,"1,122",57,"1,182",2.9
Wakeling,18,48,69,5.6,264,438,471,"1,173",94.4,"1,242",69,"1,311",3.0
Mcleod,30,117,147,7.5,537,699,573,"1,815",92.5,"1,962",117,"2,079",3.0
Konini,3,24,27,2.3,201,408,516,"1,125",97.9,"1,149",42,"1,188",2.9
Waima,3,12,15,1.9,138,285,369,789,98.1,804,24,828,2.9
Laingholm,..C,18,21,2.5,156,315,351,825,97.9,843,24,867,2.8
Armour Bay,..C,3,6,3.6,30,51,78,159,94.6,168,..C,168,2.9
Otimai,..C,24,24,2.5,159,300,468,924,97.5,948,48,999,3.0
Parrs Park West,33,63,93,16.2,174,204,105,483,84.3,573,57,633,3.4
Parrs Park,18,42,57,16.1,99,111,87,297,83.9,354,36,387,3.5
Oratia West,..C,..C,..C,..C,15,30,27,72,104.3,69,9,78,2.8
Oratia,33,72,105,10.5,258,345,288,891,89.5,996,78,"1,071",3.2
Henderson West,6,21,27,4.1,126,228,279,636,95.9,663,30,690,3.2
Palm Heights,12,30,42,6.4,117,204,297,618,93.6,660,54,714,3.5
McLaren Park,24,63,90,11.3,234,279,195,708,88.7,798,81,876,3.3
Opanuku,6,18,21,3.0,138,207,333,678,97.0,699,36,738,2.8
Swanson,6,12,18,4.7,93,132,138,366,96.1,381,48,429,2.9
Swanson South,..C,9,12,3.4,63,117,159,339,96.6,351,18,372,3.0
Urlich,36,57,93,13.9,156,243,183,576,86.1,669,63,735,3.2
Starling Park,45,78,123,16.9,177,225,198,600,82.6,726,81,807,3.5
Ranui Domain,57,69,126,14.9,243,294,180,717,85.1,843,138,981,3.1
Ranui South,36,45,84,9.7,228,282,270,780,90.3,864,57,921,3.3
Sturges North,21,75,99,4.9,357,615,963,"1,932",95.1,"2,031",99,"2,130",3.3
Kingdale,42,105,147,14.2,291,345,249,888,85.8,"1,035",75,"1,110",3.4
Fairdene,54,102,153,11.3,354,444,399,"1,200",88.7,"1,353",84,"1,437",3.2
Whenuapai West,..C,12,15,2.6,138,201,222,564,97.4,579,21,600,2.9
Herald,..C,12,15,2.6,114,186,267,567,97.4,582,21,600,2.9
Hobsonville East,..C,9,12,3.5,75,126,129,333,96.5,345,12,357,2.9
Hobsonville South,..C,6,9,1.2,75,234,438,744,98.4,756,18,774,2.8
Westgate,6,18,21,4.9,96,147,165,411,95.1,432,15,453,2.9
Royal Road West,18,51,69,8.5,180,276,288,747,91.9,813,63,873,3.3
West Harbour,54,96,150,10.7,318,495,438,"1,248",89.1,"1,401",93,"1,491",3.3
Lucken Point,6,27,33,2.0,201,501,930,"1,635",98.0,"1,668",24,"1,692",3.1
Royal Heights,54,114,168,9.1,381,609,678,"1,668",90.7,"1,839",135,"1,971",3.1
Massey West,..C,9,9,7.7,24,39,45,108,92.3,117,6,123,2.8
Birdwood West,..C,..C,6,3.6,30,60,75,162,96.4,168,15,183,2.8
Birdwood East,9,15,27,7.0,78,105,177,360,93.8,384,39,420,3.5
Waimumu North,57,120,180,11.8,384,492,474,"1,347",88.2,"1,527",135,"1,662",3.4
Waimumu South,27,63,90,7.8,249,408,414,"1,071",92.2,"1,161",111,"1,272",3.1
Taupaki,..C,6,6,2.1,57,87,129,276,96.8,285,30,315,2.8
Waitakere,..C,18,18,2.9,123,192,285,603,97.1,621,54,675,2.9
Karekare,..C,36,42,4.5,228,321,354,903,95.9,942,90,"1,029",2.5
Freemans Bay,9,54,63,4.0,600,561,342,"1,506",95.8,"1,572",96,"1,668",2.2
Auckland Harbourside,21,147,168,8.9,"1,062",537,126,"1,725",91.1,"1,893",201,"2,091",2.0
Auckland Central West,240,654,891,18.5,"2,928",885,120,"3,933",81.5,"4,827",540,"5,367",2.1
Auckland Central East,117,501,618,15.3,"2,763",597,63,"3,423",84.7,"4,041",507,"4,548",1.9
Newton,12,39,54,8.7,372,168,33,570,91.3,624,63,687,2.2
Grafton West,27,114,141,15.2,525,231,33,786,84.8,927,63,987,2.1
Grafton East,..C,18,18,9.4,99,39,33,171,89.1,192,21,213,2.4
Roberton,36,120,159,9.3,558,585,402,"1,545",90.7,"1,704",141,"1,845",2.8
Glenavon,66,198,267,14.7,579,576,396,"1,554",85.5,"1,818",117,"1,935",3.3
New Windsor,51,144,195,10.7,483,501,651,"1,632",89.2,"1,830",93,"1,923",3.3
Avondale South,27,126,153,9.0,444,579,531,"1,548",91.0,"1,701",78,"1,779",3.1
Blockhouse Bay,15,75,90,4.5,474,663,756,"1,896",95.5,"1,986",72,"2,055",2.9
Rosebank,60,126,189,15.3,339,402,303,"1,044",84.7,"1,233",105,"1,338",3.3
Avondale West,69,144,213,15.8,426,435,276,"1,137",84.2,"1,350",102,"1,452",3.3
Waterview,45,69,111,10.1,345,390,252,984,89.6,"1,098",78,"1,176",2.7
Point Chevalier West,12,48,60,4.7,342,546,318,"1,206",95.3,"1,266",48,"1,314",2.5
Point Chevalier East,15,57,75,4.7,441,597,471,"1,509",95.3,"1,584",60,"1,647",2.8
Point Chevalier South,21,33,54,11.7,138,174,93,408,88.3,462,30,492,2.9
Westmere,18,48,66,3.9,441,663,516,"1,620",96.1,"1,686",45,"1,731",2.9
Herne Bay,..C,15,15,1.4,324,339,426,"1,089",98.1,"1,110",51,"1,158",2.4
St Marys,3,33,39,3.3,393,387,366,"1,146",96.7,"1,185",57,"1,239",2.2
Ponsonby West,6,27,33,4.0,231,273,282,783,95.6,819,24,843,2.9
Ponsonby East,9,36,45,3.8,402,414,342,"1,155",96.3,"1,200",87,"1,290",2.5
Grey Lynn West,24,39,66,6.0,396,357,288,"1,038",94.0,"1,104",66,"1,170",2.9
Grey Lynn East,12,36,48,4.1,480,351,294,"1,131",96.2,"1,176",72,"1,248",2.6
Surrey Crescent,21,45,66,7.0,381,318,186,882,93.0,948,57,"1,008",2.7
St Lukes North,3,15,18,7.1,84,69,84,234,91.8,255,12,267,3.0
Arch Hill,6,33,39,6.7,249,198,96,543,93.3,582,39,621,2.5
Eden Terrace,15,66,84,8.4,528,327,63,918,91.9,999,108,"1,110",2.3
Epsom North,12,78,90,8.7,288,318,336,945,91.3,"1,035",69,"1,101",3.0
Epsom Central,18,93,111,10.2,318,300,360,978,89.8,"1,089",63,"1,149",3.2
Epsom South,12,42,51,4.8,234,294,477,"1,002",94.9,"1,056",45,"1,101",3.3
Parnell East,..C,21,24,2.8,231,261,357,849,97.6,870,60,930,2.5
Parnell West,6,75,84,4.3,690,669,510,"1,869",95.7,"1,953",135,"2,088",2.2
Mt Hobson,6,21,30,7.6,141,90,132,366,93.1,393,30,426,2.9
Remuera South,9,69,75,6.0,297,462,405,"1,164",93.7,"1,242",57,"1,299",3.0
Abbotts Park,6,48,51,3.5,354,528,543,"1,425",96.5,"1,476",72,"1,548",2.7
Remuera West,3,33,36,2.9,243,390,588,"1,221",97.1,"1,257",42,"1,299",2.6
Waitaramoa,..C,24,27,2.0,207,378,723,"1,308",98.0,"1,335",39,"1,371",2.8
Orakei South,..C,18,18,1.5,180,411,588,"1,176",98.2,"1,197",24,"1,221",2.8
Waiata,6,21,27,1.9,180,447,741,"1,368",98.1,"1,395",33,"1,428",2.8
Meadowbank North,15,48,66,2.8,516,840,930,"2,283",97.1,"2,352",105,"2,454",2.6
Meadowbank South,6,27,33,1.9,267,582,834,"1,683",98.1,"1,716",84,"1,803",2.8
Orakei North,21,75,99,5.2,414,657,723,"1,791",94.9,"1,887",183,"2,073",2.6
Mission Bay,..C,48,51,2.4,453,741,837,"2,031",97.4,"2,085",120,"2,205",2.4
Kohimarama West,..C,15,15,1.1,213,432,654,"1,299",98.9,"1,314",48,"1,359",2.4
Kohimarama East,6,15,21,1.5,183,432,741,"1,350",98.5,"1,371",18,"1,389",2.7
St Heliers,..C,27,30,1.6,237,582,"1,041","1,860",98.6,"1,887",48,"1,938",2.5
Glendowie,..C,18,18,1.3,219,489,636,"1,344",98.9,"1,359",30,"1,392",3.1
Glen Innes North,12,45,54,2.6,444,714,852,"2,007",97.2,"2,064",63,"2,127",2.7
Glen Innes West,84,165,252,22.2,297,324,264,885,78.0,"1,134",159,"1,293",3.4
Glen Innes East,60,93,150,22.0,213,180,138,528,77.5,681,105,783,3.5
Point England,90,162,249,22.6,384,324,141,852,77.2,"1,104",213,"1,314",3.3
St Johns,12,54,66,7.4,327,318,186,831,93.0,894,138,"1,032",2.6
Stonefields,..C,6,9,1.3,54,168,483,708,98.7,717,27,744,3.0
Newmarket,9,114,126,11.7,561,273,117,954,88.6,"1,077",81,"1,161",2.5
Kingsland,18,81,99,6.8,534,519,300,"1,353",93.2,"1,452",90,"1,545",2.7
St Lukes,33,105,141,8.5,633,606,279,"1,518",91.5,"1,659",108,"1,767",2.7
Sandringham North,15,66,81,7.6,390,372,219,978,92.1,"1,062",63,"1,125",2.8
Sandringham West,48,153,204,12.8,546,522,318,"1,386",87.2,"1,590",102,"1,692",2.9
Sandringham East,36,93,126,11.5,375,369,222,966,88.5,"1,092",60,"1,152",2.8
Mt Albert Central,18,105,123,6.7,555,666,489,"1,710",93.1,"1,836",87,"1,923",2.9
Springleigh,18,75,93,10.3,300,357,153,807,89.7,900,54,954,2.9
Owairaka West,36,84,123,15.4,276,267,135,678,85.0,798,54,852,3.0
Owairaka East,30,87,117,8.8,411,405,390,"1,203",90.9,"1,323",42,"1,365",3.1
Mt Eden North,12,93,105,9.3,591,285,150,"1,026",90.7,"1,131",72,"1,203",2.4
Sherbourne,6,57,63,6.1,489,270,207,963,93.9,"1,026",51,"1,074",2.4
Balmoral,18,78,96,5.4,618,561,492,"1,671",94.6,"1,767",66,"1,833",2.9
Mt Eden East,6,42,48,5.6,291,264,258,813,94.4,861,45,906,2.9
Maungawhau,18,39,54,4.3,432,426,345,"1,200",95.7,"1,254",51,"1,302",3.0
Mt Eden South,9,60,69,4.3,474,552,513,"1,539",95.7,"1,608",57,"1,665",2.9
Three Kings,51,147,198,11.3,624,558,369,"1,554",88.7,"1,752",144,"1,899",2.9
Royal Oak,15,60,78,4.2,402,642,711,"1,758",95.8,"1,836",63,"1,899",2.9
Hillsborough West,39,156,198,9.3,624,681,633,"1,935",90.7,"2,133",114,"2,250",3.2
Hillsborough East,15,57,72,5.0,348,507,513,"1,368",95.2,"1,437",54,"1,494",2.8
Walmsley,102,165,264,28.2,321,231,120,672,71.8,936,81,"1,017",3.9
Wesley,48,111,162,21.1,312,189,102,606,78.9,768,63,831,3.4
Akarana,108,204,315,21.3,525,408,234,"1,167",78.9,"1,479",99,"1,578",3.5
Lynfield North,39,117,159,9.2,438,582,555,"1,575",91.0,"1,731",69,"1,800",3.2
Lynfield South,12,54,66,4.9,294,438,558,"1,293",95.1,"1,359",33,"1,389",3.1
Waikowhai West,12,57,69,5.8,204,462,450,"1,110",93.9,"1,182",33,"1,212",2.9
Waikowhai East,66,147,213,17.2,351,318,357,"1,023",82.8,"1,236",81,"1,317",3.5
Mt St John,18,87,102,8.1,327,381,447,"1,155",91.7,"1,260",51,"1,311",3.1
One Tree Hill Central,9,39,45,5.4,186,273,327,783,94.6,828,36,864,2.8
One Tree Hill East,15,84,99,5.1,486,678,678,"1,845",95.1,"1,941",84,"2,025",2.8
Penrose,9,21,27,13.0,63,81,33,177,85.5,207,21,228,3.0
Onehunga North West,21,108,129,8.9,474,558,282,"1,314",91.1,"1,443",57,"1,500",2.5
Onehunga North East,21,42,66,4.6,339,618,417,"1,374",95.4,"1,440",48,"1,485",2.4
Onehunga South West,15,42,54,4.1,333,504,435,"1,272",95.9,"1,326",63,"1,389",2.7
Onehunga South East,27,81,108,8.0,477,552,207,"1,236",92.0,"1,344",81,"1,425",2.5
Oranga,69,117,186,15.5,387,399,231,"1,014",84.5,"1,200",84,"1,281",3.2
Te Papapa,39,87,126,11.1,360,411,240,"1,014",88.9,"1,140",93,"1,230",2.7
Ellerslie North,18,81,99,4.2,624,873,777,"2,271",95.7,"2,373",81,"2,451",2.6
Ellerslie South,6,45,48,6.3,225,318,177,717,93.4,768,30,801,2.7
Mt Wellington Domain,15,48,63,10.6,222,216,93,534,89.9,594,54,645,2.6
Mt Wellington West,15,66,81,7.1,339,531,183,"1,053",92.9,"1,134",51,"1,185",2.3
Mt Wellington North,42,105,150,16.3,306,300,159,768,83.7,918,84,"1,002",3.1
Ferndale,45,129,174,11.6,486,537,300,"1,323",88.4,"1,497",102,"1,599",2.9
Hamlin,63,153,216,14.3,450,474,372,"1,296",85.9,"1,509",120,"1,626",3.2
Mt Wellington South,102,177,282,19.2,429,447,312,"1,191",81.0,"1,470",147,"1,617",3.4
Tamaki,84,159,243,21.3,372,345,180,897,78.5,"1,143",213,"1,353",3.3
Panmure Basin,15,66,81,8.0,246,387,300,936,92.3,"1,014",69,"1,086",2.5
Waiheke Island,9,117,126,3.7,912,"1,209","1,119","3,240",96.3,"3,366",201,"3,567",2.2
Bays-Waiheke Island,..C,..C,..C,..C,..C,..C,..C,6,100.0,6,6,12,1.5
Islands-Motutapu Rangitoto Rakino,..C,..C,..C,..C,6,6,12,24,100.0,24,3,27,2.0
Great Barrier Island,6,15,21,5.3,93,156,126,375,95.4,393,42,438,2.0
Paerata-Cape Hill,6,12,18,5.3,54,102,168,324,95.6,339,12,351,3.1
Eden Road-Hill Top,..C,9,12,7.3,33,51,69,150,90.9,165,18,180,3.3
Buckland,..C,..C,..C,..C,21,60,87,168,98.2,171,12,180,3.1
Patumahoe,3,15,18,2.3,129,225,402,753,97.7,771,33,807,3.0
Kingseat,12,39,51,2.5,270,597,"1,161","2,028",97.5,"2,079",87,"2,163",2.8
Hunua,..C,33,33,2.4,177,402,768,"1,347",97.2,"1,386",75,"1,458",2.9
Paparata,..C,..C,..C,..C,18,21,39,78,100.0,78,3,84,2.9
Awhitu,6,24,30,3.1,114,270,543,927,96.9,957,39,993,2.5
Glenbrook,..C,12,15,2.0,114,207,402,717,98.0,732,33,765,2.8
Bombay,..C,..C,6,2.2,30,90,147,264,97.8,270,3,276,2.9
Hingaia,..C,..C,..C,..C,36,105,399,537,99.4,540,12,552,3.0
Whangapouri Creek,..C,..C,..C,..C,15,48,114,180,101.7,177,6,183,3.0
Bremner,..C,..C,..C,..C,12,33,78,123,97.6,126,6,129,2.9
Drury,3,21,27,2.4,174,324,597,"1,095",97.6,"1,122",69,"1,185",2.9
Runciman,..C,..C,..C,..C,57,51,75,183,98.4,186,9,192,2.5
Mellons Bay,6,24,27,2.3,195,360,579,"1,131",97.4,"1,161",33,"1,191",2.7
Cockle Bay,..C,18,18,1.1,240,492,852,"1,581",98.7,"1,602",42,"1,644",2.9
Howick West,..C,39,39,4.4,189,321,330,840,95.6,879,36,915,3.0
Howick Central,6,63,69,3.1,522,891,783,"2,193",96.9,"2,262",84,"2,349",2.7
Otahuhu North,63,153,216,27.0,333,189,57,582,72.7,801,96,894,3.3
Fairburn,93,159,249,25.2,393,228,120,738,74.5,990,90,"1,077",3.2
Otahuhu East,36,72,105,19.7,159,144,123,429,80.3,534,42,576,3.6
Otahuhu West,99,210,312,26.8,411,303,144,855,73.5,"1,164",201,"1,365",3.3
Middlemore,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,3,4.0
Papatoetoe West,120,228,348,22.8,468,447,270,"1,179",77.2,"1,527",90,"1,620",3.6
Papatoetoe North,78,198,279,16.8,492,510,378,"1,383",83.4,"1,659",138,"1,800",3.1
Papatoetoe Central,63,189,249,16.9,432,501,288,"1,221",82.9,"1,473",138,"1,608",2.9
Dingwall,42,114,156,15.0,318,318,243,879,84.7,"1,038",63,"1,098",3.3
Papatoetoe East,78,222,303,20.7,510,372,276,"1,161",79.5,"1,461",135,"1,596",3.5
Puhinui North,60,156,216,17.7,306,459,240,"1,005",82.5,"1,218",138,"1,356",3.3
Bucklands and Eastern Beaches,9,39,45,2.6,255,552,900,"1,707",97.3,"1,755",39,"1,794",2.8
Bleakhouse,..C,9,9,1.5,69,177,327,573,98.5,582,12,594,3.1
Bucklands Beach South,..C,30,33,4.0,162,243,387,792,96.0,825,18,840,3.2
