area_unit_name,2 + bedrooms needed (severely crowded),1 bedroom needed (crowded),total_crowded,total_crowded_percent,No extra bedrooms required,1 bedroom spare,2 or more bedrooms spare,total_not_crowded,total_not_crowded_percent,total_stated,total_unknown,total_households,average_household_size
Greenhithe,..C,21,24,1.2, 291 , 642 ," 1,035 "," 1,965 ",98.6," 1,992 ", 30 ," 2,022 ",3.2
Narrow Neck,..C,39,42,3.2, 336 , 501 , 414 ," 1,251 ",96.8," 1,293 ", 30 ," 1,323 ",2.6
Mt Victoria,6,36,42,2.1, 468 , 738 , 714 ," 1,923 ",98.0," 1,962 ", 57 ," 2,022 ",2.6
Stanley Bay,..C,3,6,0.9, 120 , 249 , 273 , 642 ,99.1, 648 , 12 , 660 ,2.9
Ocean View,18,81,96,6.2, 378 , 537 , 537 ," 1,455 ",93.6," 1,554 ", 63 ," 1,614 ",2.8
Tuff Crater,33,78,111,8.5, 363 , 459 , 372 ," 1,194 ",91.3," 1,308 ", 75 ," 1,380 ",2.8
Northcote South,..C,42,42,2.9, 285 , 588 , 546 ," 1,422 ",97.1," 1,464 ", 66 ," 1,530 ",2.6
Beachhaven North,30,90,120,6.9, 474 , 612 , 531 ," 1,614 ",93.1," 1,734 ", 102 ," 1,836 ",2.9
Beachhaven South,18,66,84,5.6, 285 , 489 , 639 ," 1,416 ",94.4," 1,500 ", 57 ," 1,557 ",2.9
Birkdale North,24,57,81,9.2, 231 , 291 , 273 , 798 ,90.8, 879 , 57 , 936 ,3.0
Birkdale South,9,51,63,4.8, 300 , 477 , 486 ," 1,263 ",95.2," 1,326 ", 75 ," 1,398 ",2.7
Kauri Park,9,45,54,4.0, 303 , 555 , 450 ," 1,302 ",96.0," 1,356 ", 51 ," 1,410 ",2.7
Chelsea,6,27,30,2.4, 198 , 363 , 651 ," 1,209 ",97.6," 1,239 ", 24 ," 1,266 ",3.0
Birkenhead East,9,39,45,3.1, 330 , 510 , 561 ," 1,398 ",96.7," 1,446 ", 60 ," 1,506 ",2.6
Henderson North,24,105,126,6.7, 501 , 756 , 504 ," 1,758 ",93.3," 1,884 ", 135 ," 2,022 ",2.5
Henderson South,39,87,126,10.0, 354 , 441 , 345 ," 1,137 ",90.0," 1,263 ", 99 ," 1,365 ",2.9
Tangutu,21,60,81,9.0, 222 , 300 , 291 , 816 ,91.0, 897 , 54 , 951 ,3.1
Woodglen,30,69,96,7.4, 330 , 459 , 417 ," 1,206 ",92.8," 1,299 ", 123 ," 1,422 ",2.9
Glen Eden East,42,144,186,8.3, 675 , 756 , 627 ," 2,058 ",91.6," 2,247 ", 189 ," 2,436 ",2.7
New Lynn North,18,63,81,10.2, 228 , 309 , 180 , 714 ,89.8, 795 , 93 , 891 ,2.7
New Lynn South,21,45,66,8.4, 255 , 297 , 174 , 723 ,91.6, 789 , 135 , 927 ,2.6
Lynnmall,27,84,111,15.3, 267 , 237 , 111 , 615 ,84.7, 726 , 72 , 795 ,2.9
Fruitvale,33,90,126,8.7, 396 , 549 , 384 ," 1,329 ",91.5," 1,452 ", 96 ," 1,551 ",2.7
Rewarewa,27,93,120,8.7, 360 , 528 , 369 ," 1,257 ",91.3," 1,377 ", 78 ," 1,455 ",2.8
Glendene North,36,75,111,8.7, 297 , 393 , 471 ," 1,161 ",91.3," 1,272 ", 72 ," 1,347 ",3.1
Glendene South,24,45,69,8.9, 192 , 258 , 258 , 705 ,91.4, 771 , 33 , 810 ,3.2
Kelston Central,66,120,189,16.8, 318 , 327 , 291 , 936 ,83.2," 1,125 ", 63 ," 1,188 ",3.5
Sunnyvale,27,60,90,7.5, 270 , 435 , 408 ," 1,116 ",92.8," 1,203 ", 45 ," 1,248 ",3.0
Kaurilands,..C,30,33,3.3, 216 , 354 , 402 , 972 ,96.7," 1,005 ", 33 ," 1,038 ",2.9
Crum Park,9,39,48,3.7, 216 , 414 , 612 ," 1,245 ",96.3," 1,293 ", 39 ," 1,329 ",2.8
Titirangi South,6,18,24,2.0, 186 , 405 , 558 ," 1,155 ",98.0," 1,179 ", 36 ," 1,212 ",2.7
Green Bay,12,42,54,3.6, 306 , 615 , 537 ," 1,461 ",96.4," 1,515 ", 51 ," 1,566 ",2.5
Matipo,15,45,60,6.3, 246 , 327 , 315 , 888 ,94.0, 945 , 87 ," 1,035 ",2.7
Durham Green,27,81,108,8.2, 288 , 429 , 495 ," 1,212 ",91.8," 1,320 ", 87 ," 1,404 ",3.1
Te Atatu Central,24,63,87,6.0, 276 , 504 , 579 ," 1,356 ",94.0," 1,443 ", 117 ," 1,560 ",2.8
Edmonton,18,60,75,7.2, 243 , 378 , 348 , 969 ,92.8," 1,044 ", 111 ," 1,155 ",2.7
Wakeling,15,60,75,6.3, 237 , 411 , 468 ," 1,116 ",93.7," 1,191 ", 93 ," 1,281 ",2.9
Mcleod,33,99,135,7.9, 414 , 648 , 522 ," 1,584 ",92.3," 1,716 ", 105 ," 1,824 ",2.9
Konini,3,33,39,3.6, 195 , 399 , 465 ," 1,059 ",96.4," 1,098 ", 51 ," 1,146 ",2.9
Waima,..C,15,15,1.9, 153 , 297 , 324 , 774 ,98.5, 786 , 24 , 807 ,2.9
Laingholm,..C,15,21,2.5, 195 , 300 , 309 , 804 ,97.5, 825 , 36 , 858 ,2.9
Armour Bay,..C,6,6,4.0, 30 , 48 , 66 , 144 ,96.0, 150 , 12 , 159 ,2.8
Otimai,..C,9,12,1.4, 156 , 306 , 405 , 867 ,98.6, 879 , 48 , 927 ,3.0
Parrs Park West,18,54,72,13.7, 186 , 174 , 90 , 453 ,86.3, 525 , 24 , 552 ,3.5
Parrs Park,3,15,21,10.0, 60 , 57 , 72 , 189 ,90.0, 210 , 30 , 240 ,3.0
Oratia West,..C,..C,..C,..C, 12 , 21 , 24 , 57 ,95.0, 60 , 6 , 66 ,2.9
Oratia,36,63,102,10.6, 267 , 336 , 258 , 861 ,89.1, 966 , 51 ," 1,014 ",3.2
Henderson West,6,18,27,4.1, 132 , 240 , 270 , 642 ,96.4, 666 , 15 , 681 ,3.2
Palm Heights,18,33,54,9.5, 99 , 177 , 243 , 519 ,91.1, 570 , 27 , 597 ,3.5
McLaren Park,42,78,120,15.7, 210 , 246 , 183 , 642 ,84.3, 762 , 48 , 810 ,3.4
Opanuku,6,21,27,4.0, 135 , 219 , 294 , 651 ,96.4, 675 , 39 , 711 ,2.9
Swanson,..C,3,6,1.7, 93 , 135 , 108 , 339 ,98.3, 345 , 39 , 384 ,2.8
Swanson South,..C,3,6,1.9, 51 , 108 , 141 , 306 ,98.1, 312 , 30 , 342 ,3.0
Urlich,30,48,78,12.3, 177 , 207 , 168 , 555 ,87.3, 636 , 72 , 705 ,3.3
Starling Park,36,54,90,15.2, 156 , 192 , 156 , 504 ,84.8, 594 , 96 , 690 ,3.3
Ranui Domain,36,69,105,13.1, 246 , 276 , 174 , 696 ,86.6, 804 , 159 , 963 ,3.1
Ranui South,15,36,51,7.2, 183 , 255 , 219 , 654 ,92.8, 705 , 54 , 759 ,3.2
Sturges North,24,60,84,4.8, 288 , 549 , 822 ," 1,656 ",95.2," 1,740 ", 72 ," 1,815 ",3.2
Kingdale,39,75,114,12.0, 264 , 318 , 255 , 834 ,87.7, 951 , 87 ," 1,038 ",3.3
Fairdene,45,99,147,11.3, 339 , 429 , 390 ," 1,152 ",88.7," 1,299 ", 78 ," 1,377 ",3.2
Whenuapai West,..C,21,24,4.0, 120 , 237 , 228 , 582 ,96.0, 606 , 36 , 639 ,2.8
Herald,..C,15,15,2.6, 126 , 192 , 246 , 561 ,97.4, 576 , 21 , 597 ,2.8
Hobsonville East,..C,6,9,2.3, 63 , 141 , 186 , 393 ,98.5, 399 , 9 , 408 ,2.8
Hobsonville South,..C,9,9,1.2, 81 , 231 , 405 , 720 ,98.4, 732 , 9 , 741 ,2.8
Westgate,6,21,27,7.0, 69 , 144 , 147 , 357 ,93.0, 384 , 15 , 399 ,2.7
Royal Road West,15,57,72,9.4, 171 , 252 , 273 , 696 ,90.6, 768 , 51 , 819 ,3.2
West Harbour,51,93,144,10.7, 324 , 468 , 408 ," 1,200 ",89.3," 1,344 ", 105 ," 1,449 ",3.4
Lucken Point,..C,30,30,1.9, 204 , 492 , 870 ," 1,566 ",97.9," 1,599 ", 51 ," 1,647 ",3.2
Royal Heights,39,93,132,7.4, 411 , 582 , 645 ," 1,641 ",92.6," 1,773 ", 75 ," 1,848 ",3.1
Massey West,..C,6,9,7.7, 21 , 42 , 45 , 111 ,94.9, 117 , 9 , 126 ,2.7
Birdwood West,..C,..C,3,2.2, 24 , 54 , 54 , 132 ,97.8, 135 , 21 , 156 ,2.9
Birdwood East,6,12,18,7.0, 63 , 87 , 87 , 240 ,93.0, 258 , 15 , 276 ,3.2
Waimumu North,51,108,162,11.8, 372 , 414 , 429 ," 1,215 ",88.4," 1,374 ", 123 ," 1,497 ",3.5
Waimumu South,27,78,105,9.7, 267 , 369 , 339 , 975 ,90.5," 1,077 ", 108 ," 1,188 ",3.2
Taupaki,..C,9,9,3.4, 57 , 87 , 108 , 252 ,96.6, 261 , 15 , 279 ,3.0
Waitakere,..C,24,24,4.1, 129 , 180 , 258 , 567 ,96.4, 588 , 36 , 624 ,3.0
Karekare,..C,24,24,2.7, 225 , 369 , 276 , 867 ,97.0, 894 , 75 , 966 ,2.5
Freemans Bay,9,51,60,4.0, 588 , 507 , 336 ," 1,431 ",96.2," 1,488 ", 153 ," 1,641 ",2.2
Auckland Harbourside,12,51,60,5.5, 552 , 354 , 126 ," 1,032 ",94.5," 1,092 ", 210 ," 1,299 ",1.9
Auckland Central West,54,300,354,12.5," 1,770 ", 618 , 96 ," 2,487 ",87.7," 2,835 ", 900 ," 3,735 ",1.9
Auckland Central East,63,258,321,12.8," 1,722 ", 426 , 51 ," 2,196 ",87.2," 2,517 ", 732 ," 3,252 ",1.8
Newton,9,24,33,7.5, 240 , 141 , 27 , 405 ,92.5, 438 , 75 , 513 ,2.1
Grafton West,18,51,69,8.3, 501 , 234 , 27 , 759 ,91.3, 831 , 186 ," 1,014 ",1.9
Grafton East,..C,12,18,8.1, 126 , 48 , 27 , 204 ,91.9, 222 , 6 , 228 ,2.1
Roberton,51,123,174,11.2, 501 , 522 , 366 ," 1,386 ",89.0," 1,557 ", 123 ," 1,680 ",2.8
Glenavon,78,177,255,16.5, 486 , 459 , 348 ," 1,293 ",83.5," 1,548 ", 219 ," 1,767 ",3.2
New Windsor,57,159,219,12.0, 489 , 555 , 564 ," 1,605 ",88.1," 1,821 ", 87 ," 1,908 ",3.3
Avondale South,51,87,135,8.7, 441 , 495 , 486 ," 1,422 ",91.2," 1,560 ", 108 ," 1,668 ",3.1
Blockhouse Bay,21,78,99,5.2, 483 , 633 , 693 ," 1,809 ",94.7," 1,911 ", 75 ," 1,986 ",2.9
Rosebank,69,156,225,18.6, 360 , 324 , 297 , 981 ,81.1," 1,209 ", 93 ," 1,299 ",3.4
Avondale West,72,153,228,18.1, 387 , 405 , 240 ," 1,032 ",81.9," 1,260 ", 108 ," 1,371 ",3.4
Waterview,51,108,156,13.5, 333 , 426 , 231 , 996 ,86.5," 1,152 ", 57 ," 1,206 ",2.7
Point Chevalier West,12,33,45,3.8, 366 , 444 , 318 ," 1,128 ",96.2," 1,173 ", 39 ," 1,212 ",2.5
Point Chevalier East,24,72,96,6.3, 393 , 576 , 456 ," 1,428 ",93.7," 1,524 ", 66 ," 1,590 ",2.6
Point Chevalier South,15,39,54,11.5, 171 , 165 , 84 , 417 ,88.5, 471 , 21 , 489 ,2.8
Westmere,12,48,60,3.7, 468 , 624 , 480 ," 1,572 ",96.3," 1,632 ", 60 ," 1,692 ",2.7
Herne Bay,6,15,21,1.9, 348 , 345 , 399 ," 1,092 ",98.1," 1,113 ", 60 ," 1,176 ",2.4
St Marys,..C,24,24,2.5, 321 , 294 , 333 , 948 ,97.5, 972 , 66 ," 1,038 ",2.2
Ponsonby West,12,30,42,5.2, 258 , 279 , 219 , 759 ,94.8, 801 , 33 , 834 ,2.8
Ponsonby East,9,33,42,3.5, 435 , 423 , 297 ," 1,155 ",96.5," 1,197 ", 90 ," 1,284 ",2.5
Grey Lynn West,24,42,66,6.1, 417 , 336 , 273 ," 1,020 ",93.7," 1,089 ", 45 ," 1,134 ",2.8
Grey Lynn East,12,39,51,4.6, 450 , 372 , 228 ," 1,053 ",95.6," 1,101 ", 75 ," 1,179 ",2.7
Surrey Crescent,21,51,72,7.9, 327 , 312 , 198 , 837 ,92.1, 909 , 72 , 981 ,2.7
St Lukes North,..C,9,12,5.1, 66 , 84 , 72 , 225 ,94.9, 237 , 18 , 252 ,2.9
Arch Hill,6,18,24,5.4, 219 , 129 , 75 , 423 ,94.6, 447 , 30 , 477 ,2.5
Eden Terrace,15,57,75,10.0, 405 , 207 , 63 , 678 ,90.0, 753 , 90 , 846 ,2.3
Epsom North,9,66,75,7.0, 309 , 345 , 342 , 996 ,92.7," 1,074 ", 45 ," 1,119 ",2.8
Epsom Central,9,93,105,9.6, 321 , 324 , 339 , 984 ,90.4," 1,089 ", 27 ," 1,116 ",3.1
Epsom South,12,48,57,5.3, 219 , 345 , 447 ," 1,011 ",94.4," 1,071 ", 18 ," 1,086 ",3.2
Parnell East,..C,9,12,1.4, 222 , 270 , 342 , 834 ,98.6, 846 , 33 , 876 ,2.4
Parnell West,6,48,57,3.3, 597 , 651 , 414 ," 1,662 ",96.9," 1,716 ", 165 ," 1,881 ",2.2
Mt Hobson,6,24,33,8.3, 123 , 108 , 132 , 363 ,91.7, 396 , 18 , 411 ,2.8
Remuera South,9,54,66,5.5, 318 , 441 , 372 ," 1,128 ",94.5," 1,194 ", 51 ," 1,245 ",2.9
Abbotts Park,12,36,48,3.2, 417 , 510 , 525 ," 1,452 ",96.8," 1,500 ", 45 ," 1,548 ",2.6
Remuera West,..C,24,27,2.2, 246 , 423 , 525 ," 1,194 ",97.8," 1,221 ", 33 ," 1,254 ",2.6
Waitaramoa,3,24,27,2.0, 228 , 435 , 636 ," 1,299 ",98.0," 1,326 ", 42 ," 1,368 ",2.8
Orakei South,..C,18,21,1.8, 183 , 405 , 573 ," 1,164 ",98.5," 1,182 ", 30 ," 1,209 ",2.8
Waiata,..C,24,24,1.8, 180 , 495 , 663 ," 1,338 ",98.0," 1,365 ", 36 ," 1,401 ",2.7
Meadowbank North,18,45,63,2.8, 534 , 834 , 840 ," 2,208 ",97.4," 2,268 ", 57 ," 2,328 ",2.6
Meadowbank South,9,27,36,2.1, 234 , 627 , 807 ," 1,668 ",98.1," 1,701 ", 42 ," 1,743 ",2.8
Orakei North,33,105,138,6.9, 486 , 678 , 702 ," 1,860 ",93.0," 2,001 ", 84 ," 2,085 ",2.5
Mission Bay,9,60,72,3.4, 456 , 789 , 792 ," 2,037 ",96.7," 2,106 ", 57 ," 2,163 ",2.4
Kohimarama West,..C,12,12,1.0, 225 , 417 , 567 ," 1,209 ",98.8," 1,224 ", 105 ," 1,329 ",2.4
Kohimarama East,..C,24,27,2.0, 189 , 417 , 705 ," 1,311 ",98.2," 1,335 ", 30 ," 1,368 ",2.6
St Heliers,..C,18,21,1.1, 261 , 633 , 969 ," 1,860 ",98.9," 1,881 ", 54 ," 1,935 ",2.4
Glendowie,3,21,24,1.8, 231 , 480 , 606 ," 1,317 ",98.4," 1,338 ", 15 ," 1,356 ",2.9
Glen Innes North,15,36,51,2.6, 429 , 669 , 825 ," 1,923 ",97.6," 1,971 ", 51 ," 2,025 ",2.7
Glen Innes West,105,177,285,22.9, 366 , 342 , 252 , 957 ,77.1," 1,242 ", 117 ," 1,359 ",3.5
Glen Innes East,84,114,195,24.5, 228 , 219 , 147 , 594 ,74.7, 795 , 45 , 840 ,3.5
Point England,123,162,282,24.7, 420 , 282 , 153 , 855 ,75.0," 1,140 ", 90 ," 1,230 ",3.4
St Johns,15,69,84,8.4, 360 , 357 , 201 , 918 ,91.9, 999 , 48 ," 1,047 ",2.5
Stonefields,..C,..C,..C,..C, 9 , 27 , 33 , 72 ,100.0, 72 , 3 , 75 ,2.8
Newmarket,6,30,36,5.8, 315 , 162 , 114 , 591 ,94.7, 624 , 36 , 663 ,2.2
Kingsland,30,57,84,6.3, 504 , 462 , 279 ," 1,242 ",93.5," 1,329 ", 87 ," 1,416 ",2.7
St Lukes,18,102,123,8.3, 564 , 516 , 276 ," 1,356 ",91.7," 1,479 ", 78 ," 1,554 ",2.6
Sandringham North,27,78,105,10.0, 384 , 363 , 195 , 942 ,90.0," 1,047 ", 54 ," 1,101 ",2.8
